Temperature,Air_Humidity,Soil_Humidity,Relay
20.77784984152207,65.1066238474303,81.70485458130118,0.0
22.18374744823845,53.421662200451784,80.59564246067993,0.0
25.457986979211515,44.335208851888204,76.57432955602364,0.0
27.680153351297726,32.123552331926234,76.71713829115352,0.0
28.530808481766602,36.65560420521079,75.5527122269373,0.0
28.568196602842068,20.290648841899863,75.81548388233877,0.0
30.14675903347317,34.41030125789187,77.62117849811452,0.0
29.373909397829824,36.17403558257582,73.87807216952858,0.0
27.583546721647092,28.901530013929417,71.32621729656252,0.0
27.596290920856166,41.16300580130532,73.51574102697954,0.0
25.09857120119651,46.725500045025406,70.02911299793905,0.0
22.74233740701037,47.19313756366033,69.845900446953,0.0
18.148417579146535,56.78790115921365,67.16702023035946,0.0
16.50099323708672,61.33774638434624,66.93412325312309,0.0
14.064838893928455,65.687679839282,68.30767460005657,0.0
12.932083990162376,72.45150807837024,65.92518753591202,0.0
11.327038941309326,86.05066284592088,65.53339160782855,0.0
9.828870252111457,81.50309275357817,64.32322806533384,0.0
11.313304142617529,76.29429230726826,64.7931300874998,0.0
11.739352428829559,84.45839345742898,60.84458818116208,0.0
9.695155769480351,78.17258844490279,64.12632877822465,0.0
13.567238921791583,82.34777690998527,59.30123377880511,0.0
14.059246037129206,77.57906039950304,62.07876662168066,0.0
17.831280674664225,69.1480835826723,59.31947584402499,0.0
18.6109095451435,54.870684408897766,61.20047558564744,0.0
23.275882594831096,51.74979087414296,55.54804864899617,0.0
24.041252189333708,46.888900318890414,57.18928389670359,0.0
27.629302043241342,41.678626507511886,54.146015182095496,0.0
31.14811486562735,32.12835846290842,54.34687281368147,0.0
29.21829347032341,37.1642525103881,53.95161657815626,0.0
30.15618022120799,26.34558576810569,54.704288084062966,0.0
31.18722645856281,20.989190101709347,49.95832682360946,0.0
28.733415482130777,31.39349305996053,48.95089481808844,0.0
25.830160417102682,49.15863229005929,49.20434666157734,0.0
25.69778718455747,49.48232600144763,51.664513196464696,0.0
24.700300053796536,47.35129767833983,48.667777922423525,0.0
21.4715371884923,49.80601628996905,41.81161690719339,0.0
18.12777478897763,54.80040085411098,47.30440379434792,0.0
